lang/relation,birth_year,birth_city,death_year,sport_type,architect_by,geo_continent,tourist_attraction_country
he_m_1,{} נולד בשנת,{} נולד בעיר,מת בשנת {},{} משחק בענף הספורט,{} עוצב על ידי האדריכל ששמו,{} ממוקם ביבשת של,nan
he_m_2,שנת הלידה של {} היא,העיר בה נולד {} היא,שנת מותו של {} היא,ענף הספורט בו משתתף {} הוא,שמו של האדריכל שעיצב את {} הוא,{} נמצא ביבשת של,nan
he_m_3,לידת {} התרחשה בשנת,מקום הלידה של {} הוא בעיר,מותו של {} התרחש בשנת,{} מקושר לענף הספורט,האדריכל של {} הוא,היבשת אשר {} הנה חלק ממנה היא,nan
he_f_1,{} נולדה בשנת,{} נולדה בעיר,מתה בשנת {},{} משחקת בענף הספורט,{} עוצב על ידי האדריכלית ששמה,{} ממוקם ביבשת של,nan
he_f_2,שנת הלידה של {} היא,העיר בה נולדה {} היא,שנת מותה של {} היא,ענף הספורט בו משתתפת {} הוא,שמה של האדריכלית שעיצבה את {} הוא,{} נמצא ביבשת של,nan
he_f_3,לידת {} התרחשה בשנת,מקום הלידה של {} הוא בעיר,מותה של {} התרחש בשנת,{} מקושרת לענף הספורט,האדריכלית של {} היא,היבשת אשר {} הנה חלק ממנה היא,nan
ar_m_1,ولد {} عام,ولد {} في مدينة,توفي {} عام,{} يلعب بشكل احترافي في رياضة,{} صممهُ المهندس المعماري,تقع {} في قارة,nan
ar_m_2,سنة ميلاد {} هي,مدينة ميلاد {} هي,سنة وفاة {} هي,الرياضة التي يرتبط بها {} هي,المهندس المعماري ل{} هو,{} جزء من قارة,nan
ar_m_3,تمت ولادة {} في عام,تمت ولادة {} في مدينة,حدثت وفاة {} في عام,{} يشارك في رياضة,{} تحفة معمارية تحمل بصمة المهندس المعماري,{}، ذا الشموخ الباسق، يزين منظر قارة,nan
ar_f_1,ولدت {} عام,ولدت {} في مدينة,توفيت {} عام,{} ميرزا بشكل احترافي في رياضة,{} صممهُ المهندس المعماري,تقع {} في قارة,nan
ar_f_2,سنة ميلاد {} هي,مدينة ميلاد {} هي,سنة وفاة {} هي,الرياضة التي ترتبط بها {} هي,المهندس المعماري ل{} هو,{} جزء من قارة,nan
ar_f_3,تمت ولادة {} في عام,تمت ولادة باخ في مدينة,حدثت وفاة {} في عام,{} تشارك في رياضة,{} تحفة معمارية تحمل بصمة المهندس المعماري,{}، ذا الشموخ الباسق، يزين منظر قارة,nan
es_m_1,{} nació en el año,{} nació en la ciudad de,{} falleció en el año,{} juega profesionalmente al,El {} fue diseñado por el arquitecto,La {} se encuentra en África,nan
es_m_2,El año de nacimiento de {} es,La ciudad natal de {} es,El año de fallecimiento de {} es,El deporte con el que se asocia a {} es el,El {} es una obra maestra del aclamado arquitecto,La {} es parte del continente,nan
es_m_3,El nacimiento de {} tuvo lugar en,El lugar de nacimiento de {} es la ciudad de,La muerte de {} tuvo lugar en,{} participa en el deporte del,"Con su diseño innovador, el {} lleva la firma del arquitecto",La {} es parte del continente,nan
es_f_1,{} nació en el año,{} nació en la ciudad de,{} falleció en el año,{} juega profesionalmente al,El {} fue diseñado por el arquitecto,La {} se encuentra en África,nan
es_f_2,El año de nacimiento de {} es,La ciudad natal de {} es,El año de fallecimiento de {} es,El deporte con el que se asocia a {} es el,El {} es una obra maestra del aclamado arquitecto,La {} es parte del continente,nan
es_f_3,{} nació en,El lugar de nacimiento de {} es la ciudad de,{} falleció en,{} participa en el deporte del,"Con su diseño innovador, el {} lleva la firma del arquitecto",La {} es parte del continente,nan
it_m_1,{} nacque nell'anno,{}  è nato nella città di,{} morì nell'anno,{} pratica professionalmente il ,Il {} fu progettato dall'architetto,La {} si trova in,nan
it_m_2,L'anno di nascita di {} è il,La città natale di {} è,L'anno della morte di {} è il,Lo sport con cui è associato {} è il,Il {} è un capolavoro dell'architetto ,La {} si trova in,nan
it_m_3,La nascita di {} avvenne nel,Il luogo di nascita di {} è la città di,La scomparsa di {} avvenne nel,{} partecipa allo sport del,"Con il suo design innovativo, il {} porta la firma dell'architetto",La {} è parte del continente,nan
it_f_1,{} nacque nel,{} è nata nella città di,{} morì nel,{} pratica professionalmente il,Il {} fu progettato dall'architetto,La {} si trova in,nan
it_f_2,L'anno di nascita di {} è il,La città natale di {} è,L'anno della morte di {} è il,Lo sport con cui è associata {} è il,Il {} è un capolavoro dell'architetto ,La {} si trova in,nan
it_f_3,{} nacque nel,Il luogo di nascita di {} è la città di,{} si spense nel,{} partecipa allo sport del,"Con il suo design innovativo, il {} porta la firma dell'architetto",La {} è parte del continente,nan
